gene	canonical_transcript	ensp
KMT2D	ENST00000301067.12	ENSP00000301067
TP53	ENST00000269305.9	ENSP00000269305
BCL6	ENST00000406870.7	ENSP00000384371
CREBBP	ENST00000262367.10	ENSP00000262367
MYD88	ENST00000650905.2	ENSP00000498360
CD79B	ENST00000006750.8	ENSP00000006750
EZH2	ENST00000320356.7	ENSP00000320147
PIM1	ENST00000373509.6	ENSP00000362608
TNFRSF14	ENST00000355716.5	ENSP00000347948
GNA13	ENST00000439174.7	ENSP00000400717
B2M	ENST00000648006.3	ENSP00000497910
CD58	ENST00000369489.10	ENSP00000358501
SOCS1	ENST00000332029.4	ENSP00000329418
TNFAIP3	ENST00000612899.5	ENSP00000481570
BTG2	ENST00000290551.5	ENSP00000290551
DTX1	ENST00000548759.2	ENSP00000510707
MEF2B	ENST00000424583.7	ENSP00000402154
PRDM1	ENST00000369096.9	ENSP00000358092
STAT6	ENST00000300134.8	ENSP00000300134
NOTCH1	ENST00000651671.1	ENSP00000498587
NOTCH2	ENST00000256646.7	ENSP00000256646
FOXO1	ENST00000379561.6	ENSP00000368880
CCND3	ENST00000372991.9	ENSP00000362082
TBL1XR1	ENST00000457928.7	ENSP00000413251
